module,is_gate_giant,lines,methods,pure_candidates,candidate_names,outbound_count,inbound_count,benefit,risk
daily_state_tick,True,2261,6,2,_proactive_similarity_guard_enabled;_settle_proactive_route_state,4,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
event_dispatch,True,5795,166,30,_event_raw_payload;_confirm_req036_denial_echo;_event_existing_reply_result_preview;_outbound_text_guard_key;_prompt_module_info;_legacy_proactive_prompt_trace_text;_prompt_injection_preview_is_internal_prompt;_recall_component_text;_recall_image_items_from_snapshot;_lightweight_recall_message_payload;_image_component_for_recall_source;_user_asks_recalled_messages;_candidate_trigger_message_id;_clear_planned_proactive_trigger;_quote_cache_key;_chain_has_reply_component;_quote_plain_text_len;_strip_internal_identity_anchors;_event_component_stable_fingerprint_part;_message_debounce_command_text;_model_replacement_event_extra;_set_model_replacement_event_extra;_group_active_conversation;_group_air_guard_is_polite_terminal;_group_air_guard_has_new_work_signal;_event_components;_disable_result_t2i;_is_silent_control_reply_text;_legacy_event_dispatch_proactive_delivery_receipt_text;_decode_segmented_replacement_token,8,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
final_response_persistence,True,986,31,7,_actual_text_from_delivered_chain;_is_livingmemory_handler_module;_is_memory_companion_handler_module;_handler_plugin_name;_restore_livingmemory_response_capture;_message_content_text;_event_uses_streaming_result,5,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
forward_message,True,2223,50,10,_reply_actor_binding_prompt_lines;_component_type_name;_component_data;_message_chain_items;_extract_forward_id_from_segment_data;_extract_image_url_from_segment_data;_extract_messages_from_forward_data;_forward_node_data;_raw_message_from_message_obj;_reply_rich_card_music_album_context,4,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
game_integration,True,1158,37,18,_game_clean_text;_game_clean_persona_id;_game_finite_float;_game_bounded_int;_game_json_safe;_game_prompt_text;_game_derived_event_id;_game_is_default_scope;_game_scope_store;_game_normalize_stored_state;_game_processed_ids;_game_add_processed_id;_game_state_matches_event;_game_user_context_descriptor;_game_afterglow_streak;_fallback_game_afterglow_assessment;_game_normalize_assessment;_game_event_is_stale,1,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
group_member_safety,True,959,24,1,_group_member_safety_active,4,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
group_observation,True,4260,91,18,_normalize_group_member_role;_group_role_source_value;_group_role_context_requested;_group_injection_guard_threshold;_raw_group_recent_messages;_group_message_prompt_text;_is_group_slang_transport_metadata_term;_is_group_slang_noise_term;_group_member_name_tokens;_cleanup_group_members;_group_share_event_ts;_cleanup_group_relationship_edges;_is_uncertain_group_slang_meaning;_clean_group_interjection_reply;_remember_recent_group_share_snapshot;_group_share_followup_needs_source;_worldbook_pending_observation_signal;_worldbook_pending_observation_key,9,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
group_wakeup,True,1343,34,8,_group_wakeup_allows_general_interjection;_text_contains_wakeup_word;_group_scene_short_interjection;_group_implicit_reply_score;_group_wakeup_strength_label;_group_wakeup_reason_label;_group_wakeup_question_context_gate;_scene_talking_to_text,5,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
integration_status,True,1276,44,3,_livingmemory_module_loaded;_message_type_label;_provider_name_is_protocol,11,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
llm_tool_actions,True,8694,142,39,_character_photo_request_matches;_reaction_expression_opt_out_requested;_mark_private_companion_skip_reaction_expression;_qzone_view_target_error_message;_qzone_view_owner_guard;_qzone_view_normalize_post_text;_qzone_note_view_memory_boundary;_photo_tool_followup_is_redundant;_photo_caption_is_generic;_photo_generation_policy_refusal;_current_turn_has_delivered_media;_referenced_media_edit_instruction_matches;_current_media_private_delivery_instruction_matches;_current_media_delivery_instruction_matches;_normalize_current_media_image_suffix;_reaction_expression_has_visible_text;_creative_work_inventory_query_matches;_strip_bookshelf_stage_directions;_creative_work_project_candidates;_creative_work_project_summary;_memo_management_instruction_matches;_mark_memo_request_tool_boundary;_memo_management_tool_instruction;_schedule_management_instruction_matches;_schedule_management_tool_instruction;_memo_tool_find_matches;_reaction_expression_bool_arg;_reaction_expression_scope;_reaction_expression_scope_key;_reaction_expression_authorization;_set_reaction_expression_authorization;_reaction_expression_match_basis;_is_reaction_embedding_provider;_reaction_embedding_input_text;_reaction_expression_lookup_cache_key;_reaction_expression_lookup_cache_revision;_qzone_view_normalize_uin;_qzone_view_clock_number;_relation_lookup_clean_keyword,11,2,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
memory_companion_adapter,True,3537,85,12,_memory_companion_coerce_bool;_memory_companion_bridge_lifecycle_active;_memory_companion_identity_matches;_memory_companion_module_matches;_memory_companion_star_matches;_memory_companion_archive_business_value;_memory_companion_bridge_from_object;_memory_companion_probe_namespace_capabilities;_memory_companion_mark_deferred_section;_memory_companion_private_recall_needed;_memory_companion_entry_ids;_memory_companion_afterglow_condition,11,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
news_exploration,True,4474,123,17,_external_event_text_match_score;_note_external_link_candidate;_split_news_source_lines;_news_xml_text;_news_parse_time;_news_item_key;_bilibili_bvid_from_url;_ai_daily_time_minutes;_ai_daily_source_key;_ai_daily_date_tokens;_format_bilibili_duration;_news_fallback_digest;_news_item_is_today;_normalize_web_exploration_api_base_url;_web_search_error_cooldown_seconds;_hot_trend_key;_format_hot_trend_candidates_for_prompt,6,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
page_api,False,,656,100,_p4_page_status_projection;_reaction_library_analysis_prompt;_vision_provider_test_image_data_url;_image_cache_clean_key;_photo_reference_upload_usage;_reference_asset_data_size;_normalize_photo_reference_asset_scope;_photo_reference_asset_bool;_extract_labeled_text;_normalize_reality_touch_snapshot;_normalize_external_api_test_setting;_safe_external_api_test_url;_external_weather_location_label;_image_api_endpoint_configuration_note;_photo_debug_event_timestamp;_photo_debug_event_sequence;_photo_debug_event_fingerprint;_image_generation_result_used_reference;_qzone_test_last_result_line;_qzone_test_line_with_prefix;_is_private_test_umo;_model_diagnostics_review_prompt;_troubleshooting_test_title;_token_task_label;_normalize_bookshelf_password;_bookshelf_access_token_digest;_bookshelf_access_error;_food_menu_parse_bool;_persona_prompt_text;_normalize_roleplay_draft_scopes;_roleplay_draft_from_persona_prompt;_persona_standardization_min_template_chars;_persona_style_scenario_specs;_persona_style_scenarios_repair_prompt;_roleplay_draft_json_repair_prompt;_roleplay_draft_has_content;_expression_share_value_list;_expression_item_content;_expression_promotion_confirmation;_display_message_text;_looks_like_internal_delivery_receipt;_format_duration;_body_monitor_status_state;_normalize_provider_mode_value;_migration_unknown_key_allowed;_bounded_migration_unknown_fields;_migration_data_sections;_migration_setting_group;_migration_section_label;_parse_migration_version;_migration_count_items;_migration_value_empty;_is_embedding_provider;_tts_provider_field_type;_tts_provider_field_group;_tts_provider_secret_field;_tts_provider_fallback_label;_tts_provider_fallback_hint;_tts_provider_metadata_unresolved;_tts_language_clone_provider_id;_provider_config;_provider_name_is_protocol;_personality_auto_tune_label;_presets;_normalize_bool_value;_allowed_feature_keys;_normalize_fractional_percent_value;_normalize_multiline_source_config;_schema_item_is_provider;_normalize_worldbook_member_id;_worldbook_member_id_valid;_merge_activity_item;_creative_project_cover_path;_token_ranked_map;_token_series_map;_int;_float;_limited_state_variables;_limited_interaction_updates;_limited_story_items;_story_item_start_minutes;_limited_adjustments;_limited_dream_fragments;_limited_list;_memory_item_count;_sqlite_like_pattern;_coerce_float;_livingmemory_match_info;_clamp_int;_normalize_id_list;_dedupe_text_list;_single_line;_sanitize_news_text;_multi_line;_multi_line_head_tail;_ok;_is_http_error_response;_safe_error_message;_error;_exception_error,28,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
page_api_qzone,True,516,19,2,_qzone_page_raw_value;_qzone_page_can_delete,2,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
page_api_settings,True,1349,8,0,,9,1,"low: isolates deterministic rules, reduces fixture setup and regression radius.",low immediate extraction value: no strict candidate passed conservative screening.
page_api_users_groups,True,2038,46,7,_safe_identity_unlink_result;_safe_person_lifecycle_result;_relationship_score_input;_format_private_alias_mapping;_extract_onebot_list;_extract_onebot_object;_lookup_float,6,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
private_image,True,6135,175,40,_image_component_source;_private_image_local_path_from_source;_private_image_request_url;_sweep_stale_prepared_image_files;_private_image_normalized_url_cache_key;_private_image_vision_cache_key;_is_private_image_vision_negative_feedback;_private_image_visual_provider_card_key;_normalize_private_image_vision_provider_priority;_private_image_visual_provider_source_allowed;_private_image_provider_failure_key;_normalize_group_generated_image_review_label;_merge_group_generated_image_reviews;_private_image_sample_gif_frame_indices;_private_image_delivery_mode;_exception_indicates_image_input_unsupported;_private_image_reply_denies_image_capability;_exception_indicates_tool_schema_invalid;_private_image_reply_is_internal_error;_private_image_freeform_visual_clues;_roleplay_labeled_value;_private_image_identity_disambiguation_instruction;_private_image_has_any_token;_private_image_labeled_segment;_private_image_ownership_kind;_private_image_user_asks_content;_private_image_user_mentions_combo_result;_private_image_query_prompt_suffix;_context_image_placeholder_pattern;_context_image_normalize_text;_completed_private_image_vision_task_text;_private_image_vision_handoff_session;_normalize_private_image_reply_text;_private_image_reply_ignores_vision_summary;_private_image_reply_drifts_to_stale_context;_private_image_neutral_visible_reply;_private_image_framework_response_text;_trim_private_image_stale_context_tail;_private_image_chain_text;_private_image_clean_reply_chain,6,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
proactive,True,4188,153,25,_proactive_daily_limit_is_unlimited;_format_proactive_daily_limit;_proactive_quota_tier_for_limit;_proactive_message_kind;_proactive_route_for;_private_delivery_route_store;_unbind_private_delivery_umo;_user_profile_override_int;_friend_sensitive_proactive_reason;_friend_sensitive_proactive_action;_friend_unanswered_should_remove_action;_friend_plan_has_private_interaction_text;_reset_daily_counter_if_needed;_proactive_response_readiness;_delay_hours_until_local_window;_proactive_reason_is_intimate;_proactive_action_is_intimate;_proactive_text_is_intimate;_low_pressure_proactive_replacement;_reset_planned_proactive_delivery_state;_maintenance_failure_cooldown_seconds;_anonymous_area_token;_anonymous_area_is_stable;_anonymous_area_visit_records;_mobile_location_humanization_budget_available,10,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
proactive_engine,True,10320,256,49,_pending_proactive_candidate_limit;_candidate_user_id;_pending_candidate_status;_candidate_repeat_count_limit;_candidate_trim_priority;_proactive_candidate_is_short_lived;_proactive_impulse_pool;_scrub_body_monitor_impulse_context;_user_asks_bot_current_state_or_activity;_merge_proactive_impulse_timing;_impulse_ready_now;_proactive_semantic_evidence_text;_proactive_semantic_chain_text;_format_proactive_user_message_freshness;_proactive_timeliness_rank;_remember_proactive_hesitation;_remember_weather_proactive_accept;_commit_mobile_location_arrival_after_send;_planned_proactive_status_snapshot;_proactive_audit_signature;_proactive_audit_note_is_obsolete_fixed_error;_is_recent_poke_echo;_simulation_label;_normalize_external_ability_name;_summarize_test_action_labels;_food_prompt_cooldown_remaining;_is_sticky_greeting_event;_reset_meal_care_day;_meal_care_slots;_build_simulation_greeting_events;_birthday_profile_matches_on_date;_birthday_curiosity_has_known_birthday;_proactive_daypart_bucket_for_minute;_screen_peek_failure_cooldown_active;_note_action_affinity_reply_feedback;_parse_window_minutes;_greeting_min_interval_seconds;_parse_action_list;_visual_share_tokens;_strong_photo_share_intent;_days_since_last_photo_sent;_motive_action_bias;_soften_topic_hook;_action_affinity_bias;_action_has_photo_text;_normalize_internal_motive_text;_normalize_legacy_proactive_text;_is_vague_seek_user_motive;_weighted_choice,8,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
proactive_message,True,17322,398,111,_looks_like_internal_provider_error_text;_external_share_platform_from_url;_external_share_claimed_platform;_user_asks_ai_daily_context;_ai_daily_query_requires_freshness;_select_ai_daily_digest_item;_user_asks_news_context;_user_asks_web_exploration_context;_format_creative_share_action_context;_creative_share_excerpt_prompt_hint;_sanitize_action_context_text;_format_plan_item_for_framework_prompt;_normalize_proactive_address_token;_default_proactive_prompt_template;_proactive_natural_delivery_hint;_proactive_troubleshooting_request_hint;_proactive_visible_text_format_hint;_unexecuted_relay_claim_reason;_fallback_unexecuted_relay_reply;_is_sqlite_locked_error;_fit_proactive_history_lines;_external_share_is_vague_pointer;_external_share_anchor_tokens;_proactive_review_hard_block_reason;_proactive_review_elapsed_text;_proactive_has_verified_recent_fact_source;_stale_proactive_review_defer_release_reason;_proactive_rewrite_blacklist_reason;_captured_framework_message_component;_strip_morning_meal_questions;_should_drop_misstaged_proactive_text;_proactive_candidate_core_text;_should_drop_vague_generic_proactive;_repair_non_external_title_share_text;_remove_unbacked_media_claims;_is_overabstract_proactive_text;_ground_proactive_text;_is_unusable_screen_peek_context;_is_screen_peek_provider_failure;_goodnight_screen_check_reply_matches;_onebot_action_result_ok;_onebot_action_reported_success;_delivery_outcome_is_uncertain;_qq_presence_codes;_extract_group_id_from_umo;_extract_record_note;_photo_generation_failure_counts_as_attempt;_normalize_daily_outfit_profile;_daily_outfit_scene_kind;_daily_outfit_weather_kind;_photo_style_prompt_en;_daily_outfit_condition_hint_en;_daily_outfit_location_hint_en;_daily_outfit_weather_visual_hint;_photo_generation_file_detail;_normalize_photo_continuity_key;_photo_continuity_store_key;_sanitize_photo_generation_fixed_prompt_config;_normalize_photo_generation_prompt_format;_normalize_bot_relationship_cards;_normalize_photo_generation_negative_prompt_mode;_photo_generation_negative_clause_content;_photo_reference_paths_equal;_photo_prompt_clip;_photo_prompt_split_formatted;_photo_generation_reference_wardrobe_section;_photo_generation_compact_scene_hint;_photo_generation_selfie_scene_constraint;_photo_generation_explicit_back_view_request;_photo_generation_edit_contract;_photo_generation_explicit_mirror_request;_append_photo_negative_terms;_apply_photo_generation_edit_guard;_builtin_photo_generation_scene_presets;_parse_photo_generation_scene_presets;_photo_generation_scene_preset_label_en;_q5_structured_reference_generation_mode;_q5_managed_reference_candidate;_photo_reference_normalize_roles;_photo_outfit_category_matches;_photo_outfit_category_from_text;_photo_reference_scene_categories_from_text;_photo_reference_preset_for_category;_photo_reference_bool;_extract_action_image_path;_extract_action_photo_caption;_extract_action_photo_subject_owner;_build_outbound_chain;_platform_instance_id;_format_send_exception;_is_onebot_event_checker_send_rejection;_onebot_event_checker_rejection_summary;_plain_component_text;_contains_inline_image_tag;_is_proactive_delivery_receipt_text;_is_proactive_instruction_leak_text;_strip_leading_sentence_boundary_artifacts;_onebot_forward_action_result_ok;_looks_like_python_traceback_text;_normalize_reaction_expression_delivery_mode;_build_proactive_archive_user_prompt;_proactive_component_is_image;_proactive_components_contain_image;_truncate_proactive_context;_truncate_proactive_text;_group_share_text_has_life_sidecar;_strip_unsupported_proactive_agreement;_proactive_status_inventory_kind;_ensure_chat_sentence_punctuation;_split_proactive_sentence_units;_deemphasize_state_report_preamble,23,2,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
qzone_comments,True,847,25,7,_qzone_trim_id_list;_qzone_normalized_comment_text;_qzone_comment_author_key;_qzone_trim_comment_records;_qzone_comment_reply_leaks_private;_qzone_clean_comment_reply_text;_qzone_comment_fuzzy_score,3,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
qzone_feed,True,562,19,11,_qzone_norm_key;_qzone_comment_content;_qzone_comment_identity;_qzone_comment_time;_qzone_comment_id;_qzone_comment_legacy_fallback_id;_qzone_comment_fingerprint;_qzone_looks_like_comment;_qzone_parse_comments_from_msg;_qzone_post_value;_qzone_post_like_url,4,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
qzone_media,True,728,18,7,_qzone_guess_image_type;_qzone_supported_image_header;_qzone_is_unsafe_media_host;_qzone_safe_redirect_url;_qzone_extract_pic_bo;_qzone_select_image_sources;_qzone_clean_publish_text,4,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
qzone_publish,True,1188,24,7,_qzone_public_state_hint;_qzone_temporal_context;_qzone_publish_theme_hint;_qzone_note_recent_publish;_qzone_text_leaks_internal_state;_strip_qzone_internal_state_fragments;_qzone_reason_prefix,3,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
qzone_runtime,True,825,36,10,_find_qzone_instance;_qzone_platform_unavailable_message;_qzone_runtime_bot_usable;_qzone_runtime_bot_candidates;_qzone_unique_texts;_qzone_gtk;_qzone_normalize_cookie_fields;_qzone_cookie_header;_qzone_normalize_uin;_qzone_response_object_candidates,4,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
qzone_schedule,True,1285,31,14,_qzone_agenda_timestamp;_qzone_parse_windows;_qzone_merge_windows;_qzone_subtract_ranges;_qzone_hhmm_to_minutes;_qzone_pick_schedule_for_slot;_qzone_length_profile_sequence;_qzone_length_profile_range;_qzone_slot_is_night;_qzone_life_publish_due_item;_qzone_life_publish_next_planned_at;_qzone_plan_item_finish;_qzone_text_length_ok;_qzone_ngram_shared_count,3,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
scene_context,True,1333,19,6,_scene_context_daypart;_scene_context_energy_label;_scene_context_condition_labels;_scene_context_outfit_description;_mobile_presence_state;_known_places_from_map,3,2,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
self_timeline,True,638,25,8,_self_timeline_normalized_text;_self_timeline_query_minutes;_self_timeline_chinese_hour;_self_timeline_date_from_key;_self_timeline_story_item_texts;_self_timeline_date_from_ts;_self_timeline_when;_self_timeline_date_delta,1,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
